Allocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,CatchmentName,CatchmentCode,Year
8164703,8164703,8164229,8164602,,,York High School,8164703,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164063,8164063,8164508,,,,Joseph Rowntree School,8164508,2012
8164702,8164702,,,,,Millthorpe School,8164229,2012
8164500,8164500,8164227,,,,Burnholme Community College,8164227,2012
8164508,8164508,,,,,Canon Lee School,8164003,2012
8164602,8164602,8164703,,,,York High School,8164703,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8154211,8154211,,,,,Fulford School,8164153,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164702,8164702,8164602,,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164003,8164003,8164508,8164602,8164063,,Canon Lee School,8164003,2012
8164153,8164500,8164153,,,,Fulford School,8164153,2012
8164500,8164500,,,,,,,2012
8164229,8164229,8164703,8164602,,,Millthorpe School,8164229,2012
8164500,8164500,,,,,Burnholme Community College,8164227,2012
8164229,8164229,8164703,8164153,,,Millthorpe School,8164229,2012
8164703,8164703,8164229,,,,York High School,8164703,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2012
8164153,8164153,8154211,,,,Fulford School,8164153,2012
8164063,8164063,8164508,,,,Huntington School,8164063,2012
8164703,8164602,8164703,8164229,,,York High School,8164703,2012
8164702,8164702,8164153,,,,Fulford School,8164153,2012
8164602,8164602,8164229,8164063,8154211,,Millthorpe School,8164229,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164500,8164500,8164227,,,,Burnholme Community College,8164227,2012
8164602,8164602,8164229,8164702,8164703,,York High School,8164703,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8154211,8154211,8164153,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164702,8164702,,,,,Joseph Rowntree School,8164508,2012
8164508,8164508,8164063,,,,Burnholme Community College,8164227,2012
,,8164500,8164508,,,Burnholme Community College,8164227,2012
8164602,8164602,8164702,8154005,,,York High School,8164703,2012
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2012
8164500,8164153,8164500,8164702,,,Archbishop Holgates CE School,8164500,2012
8164602,8164602,8164508,,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164229,8164229,8164702,,,,Millthorpe School,8164229,2012
8164702,8164702,8164500,8164153,,,Burnholme Community College,8164227,2012
8164703,8164703,8164229,8164602,,,York High School,8164703,2012
8164602,8164602,,,,,Canon Lee School,8164003,2012
,,8164500,,,,Joseph Rowntree School,8164508,2012
8164702,8164702,8164229,8164602,8164703,,York High School,8164703,2012
8164702,8164602,8164702,8164229,8164500,,York High School,8164703,2012
,,8164500,,,,Burnholme Community College,8164227,2012
8164702,8164602,8164702,8164229,8164500,,York High School,8164703,2012
8164229,8164602,8164229,,,,Millthorpe School,8164229,2012
8164229,8164229,8164153,8164602,8164063,,Millthorpe School,8164229,2012
8164063,8164063,8164508,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,8164508,8164500,,,Huntington School,8164063,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164702,8164702,,,,,York High School,8164703,2012
8154211,8154211,,,,,Millthorpe School,8164229,2012
8164508,8164508,,,,,Huntington School,8164063,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164153,8164153,8164702,8164229,,,Fulford School,8164153,2012
8164602,8164602,8164229,8164702,,,Millthorpe School,8164229,2012
8164153,8164153,8154211,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8154005,8154005,8164508,,,,Canon Lee School,8164003,2012
8164602,8164602,8164702,,,,York High School,8164703,2012
8164602,8164602,8164702,,,,York High School,8164703,2012
8164063,8164063,8164500,8164508,,,Joseph Rowntree School,8164508,2012
8164153,8164153,8164500,8164602,8154211,8164063,Fulford School,8164153,2012
8164063,8164153,8164063,,,,Huntington School,8164063,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164063,8164063,,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164702,,,,Canon Lee School,8164003,2012
8164703,8164602,,,,,York High School,8164703,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164602,8164602,8164703,,,,York High School,8164703,2012
8164500,8164500,8164227,,,,Burnholme Community College,8164227,2012
8164229,8164602,8164229,8164702,,,Millthorpe School,8164229,2012
8164702,8164702,8164153,8164602,,,Millthorpe School,8164229,2012
8164702,8164702,,,,,York High School,8164703,2012
8164229,8164229,8164153,8164500,,,Millthorpe School,8164229,2012
8164229,8164229,8164153,8164500,,,Millthorpe School,8164229,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164702,8164702,,,,,Archbishop Holgates CE School,8164500,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164702,8164229,,,York High School,8164703,2012
8164153,8164153,8164702,8164500,8164229,8164602,Fulford School,8164153,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2012
8164229,8164229,,,,,York High School,8164703,2012
8164703,8164703,8164229,8164702,8164602,,York High School,8164703,2012
8164508,8164508,8164063,8164602,8164702,,Joseph Rowntree School,8164508,2012
8164153,8164153,,,,,,,2012
8164229,8164229,8164602,,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,8164508,8164003,8164702,8164602,Archbishop Holgates CE School,8164500,2012
8154211,8154211,,,,,Fulford School,8164153,2012
8164508,8164508,,,,,Canon Lee School,8164003,2012
8164703,8164703,,,,,York High School,8164703,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164602,8164602,8164703,,,,York High School,8164703,2012
8164703,8164703,,,,,York High School,8164703,2012
8154211,8154211,8154215,,,,Millthorpe School,8164229,2012
8164702,8164702,,,,,York High School,8164703,2012
8154211,8154211,8164153,,,,Fulford School,8164153,2012
8164703,8164703,8164702,8164229,,,York High School,8164703,2012
8164602,8164602,8164508,8164003,,,Canon Lee School,8164003,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8154005,8154005,,,,,Canon Lee School,8164003,2012
8154211,8154211,,,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164229,8164702,8164602,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,8164508,,,,Joseph Rowntree School,8164508,2012
8164702,8164702,8164500,,,,Burnholme Community College,8164227,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164508,8164508,,,,,Millthorpe School,8164229,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164500,8164500,,,,,Burnholme Community College,8164227,2012
8164229,8164229,8164602,8164703,,,Millthorpe School,8164229,2012
8164153,8164153,8164702,8164500,,,Fulford School,8164153,2012
8164003,8164003,8164063,,,,Canon Lee School,8164003,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
,,8164500,8164153,,,Burnholme Community College,8164227,2012
8164602,8164602,8164229,8164702,,,York High School,8164703,2012
8164602,8164602,,,,,York High School,8164703,2012
8164153,8164153,8164500,8164702,,,Fulford School,8164153,2012
8164702,8164702,,,,,York High School,8164703,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164703,8164703,,,,,York High School,8164703,2012
8164063,8164063,8164508,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164703,8164229,,,York High School,8164703,2012
8164703,8164602,,,,,York High School,8164703,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164703,8164703,,,,,York High School,8164703,2012
8164500,8164500,,,,,Burnholme Community College,8164227,2012
8164702,8164702,,,,,York High School,8164703,2012
8164602,8164602,8164229,,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164229,8164702,8164602,,,Millthorpe School,8164229,2012
8164602,8164602,8164703,8164229,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
,,8164500,,,,Burnholme Community College,8164227,2012
8164229,8164229,8164702,8164602,,,York High School,8164703,2012
8164063,8164063,8164508,8164702,8164153,8164602,Canon Lee School,8164003,2012
8164703,8164703,,,,,Millthorpe School,8164229,2012
8164500,8164500,,,,,Burnholme Community College,8164227,2012
8164229,8164229,,,,,York High School,8164703,2012
8164229,8164153,8164229,8164602,,,York High School,8164703,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
,,8164153,8164063,8164229,8164500,Burnholme Community College,8164227,2012
8164702,8164702,8164508,8164063,,,Joseph Rowntree School,8164508,2012
8164602,8164602,,,,,,,2012
8164602,8164602,,,,,,,2012
8164602,8164602,,,,,,,2012
8154005,8154005,,,,,Canon Lee School,8164003,2012
8164703,8164703,,,,,York High School,8164703,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164703,8164703,,,,,York High School,8164703,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164703,8164703,8164602,,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164229,8164602,,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164508,8164508,,,,,Canon Lee School,8164003,2012
8164702,8164702,8164602,,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164703,8164703,,,,,York High School,8164703,2012
8164153,8164153,,,,,,,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164602,8164602,8164508,,,,York High School,8164703,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164229,8164153,8164229,,,,Millthorpe School,8164229,2012
8164703,8164703,,,,,Archbishop Holgates CE School,8164500,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,8164508,,,,Canon Lee School,8164003,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164703,8164703,,,,,York High School,8164703,2012
,,,8164153,,,,,2012
,,,8164153,,,,,2012
8164229,8164229,8164703,8164602,,,Millthorpe School,8164229,2012
8164702,8164702,,,,,Archbishop Holgates CE School,8164500,2012
8164703,8164703,,,,,York High School,8164703,2012
8164602,8164602,8164702,,,,York High School,8164703,2012
8164602,8164602,,,,,Millthorpe School,8164229,2012
8154211,8154211,8164153,,,,Millthorpe School,8164229,2012
8164702,8164702,,,,,,,2012
8164063,8164063,8164508,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164703,8164703,8164229,8164602,,,York High School,8164703,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164703,8164703,8164229,,,,York High School,8164703,2012
8164602,8164602,8164702,8164229,8164063,8164500,Canon Lee School,8164003,2012
8164703,8164703,8164229,,,,York High School,8164703,2012
8164508,8164508,8164063,8154005,,,Joseph Rowntree School,8164508,2012
8164063,8164063,,,,,Burnholme Community College,8164227,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164063,8164500,8164063,8164508,,,Joseph Rowntree School,8164508,2012
8164702,8164702,,,,,,,2012
8164602,8164602,8164229,,,,York High School,8164703,2012
8154005,8154005,,,,,Canon Lee School,8164003,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8164229,8164602,8164229,8164703,,,York High School,8164703,2012
8164703,8164602,,,,,York High School,8164703,2012
8164602,8164602,8164703,,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164229,8164702,8164602,,,Millthorpe School,8164229,2012
8164702,8164702,8164602,8164500,,,York High School,8164703,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164703,8164703,,,,,York High School,8164703,2012
8164602,8164602,,,,,Canon Lee School,8164003,2012
8164703,8164703,8164702,8164602,,,York High School,8164703,2012
8154608,8154215,8154608,8164153,,,Fulford School,8164153,2012
8164703,8164703,8164229,,,,York High School,8164703,2012
8164602,8164602,8154005,,,,Canon Lee School,8164003,2012
8164229,8164229,8164702,8164602,,,Millthorpe School,8164229,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164703,8164703,,,,,York High School,8164703,2012
8164500,8164500,8164508,8164227,8164063,,Burnholme Community College,8164227,2012
8164703,8164703,,,,,York High School,8164703,2012
8164153,8164153,8164063,8164500,,,Fulford School,8164153,2012
8164500,8164500,8164063,8164229,,,Joseph Rowntree School,8164508,2012
8164508,8164508,8164003,8154005,,,Canon Lee School,8164003,2012
8164602,8164602,,,,,,,2012
8164153,8164153,8154211,8164229,,,Fulford School,8164153,2012
8164063,8164063,8164508,8164500,8164153,,Burnholme Community College,8164227,2012
8164500,8164500,,,,,,,2012
8164003,8164003,8164063,,,,Canon Lee School,8164003,2012
8164702,8164702,8164229,,,,Millthorpe School,8164229,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164229,8164153,8164500,8164229,8164702,8164602,Millthorpe School,8164229,2012
8164702,8164702,,,,,York High School,8164703,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164500,8164500,8164063,8164153,8164602,8164702,Burnholme Community College,8164227,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164702,8164702,,,,,,,2012
8164229,8164229,8164602,8164702,8164703,,York High School,8164703,2012
8164500,8164500,8164153,,,,Archbishop Holgates CE School,8164500,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164602,8164602,,,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164703,8164703,,,,,York High School,8164703,2012
8164508,8164508,8164227,8164063,,,Burnholme Community College,8164227,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164229,8164229,8164602,8164702,,,Millthorpe School,8164229,2012
8164703,8164703,,,,,York High School,8164703,2012
8164229,8164229,8164702,8164602,,,Millthorpe School,8164229,2012
8164003,8164003,8164063,,,,Canon Lee School,8164003,2012
8164229,8164229,8164702,8164602,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164703,8164703,8164229,8164702,8164602,,York High School,8164703,2012
8164229,8164602,8164229,,,,York High School,8164703,2012
8164702,8164702,8164508,8164063,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164702,,,,York High School,8164703,2012
8164602,8164602,8164702,,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164702,8164229,,,York High School,8164703,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164602,8164602,,,,,York High School,8164703,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164500,8164500,8164153,8164063,8164602,8164229,Fulford School,8164153,2012
8164500,8164500,8164153,8164063,8164602,8164229,Fulford School,8164153,2012
8164703,8164703,8164229,,,,York High School,8164703,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164702,8164702,8164063,,,,Joseph Rowntree School,8164508,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164229,8164229,8164602,,,,York High School,8164703,2012
8164063,8164063,8164508,,,,Huntington School,8164063,2012
8164500,8164500,8164063,,,,Archbishop Holgates CE School,8164500,2012
8154211,8154211,,,,,Millthorpe School,8164229,2012
,,8164063,,,,,,2012
8164702,8164702,8164602,8164153,8164229,,York High School,8164703,2012
8164602,8164602,8164229,,,,York High School,8164703,2012
8164702,8164702,,,,,Burnholme Community College,8164227,2012
8164063,8164063,8164702,8164508,,,Joseph Rowntree School,8164508,2012
,,8164702,,,,,,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164003,8164003,8164602,,,,Canon Lee School,8164003,2012
8164229,8164602,8164229,,,,Millthorpe School,8164229,2012
8164703,8164703,8164602,,,,York High School,8164703,2012
8164003,8164003,8164702,8164063,,,Canon Lee School,8164003,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164602,8164229,8164702,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,Millthorpe School,8164229,2012
8164229,8164602,8164229,,,,Millthorpe School,8164229,2012
8164229,8164229,,,,,York High School,8164703,2012
8164153,8164153,8164063,,,,Fulford School,8164153,2012
8164703,8164703,,,,,York High School,8164703,2012
8154211,8154211,,,,,Millthorpe School,8164229,2012
,,8164500,,,,Archbishop Holgates CE School,8164500,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8164703,8164703,8164229,,,,York High School,8164703,2012
8164063,8164063,,,,,Joseph Rowntree School,8164508,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164500,8164500,,,,,Fulford School,8164153,2012
8164703,8164703,8164602,8164229,,,York High School,8164703,2012
8164063,8164063,8164003,,,,Canon Lee School,8164003,2012
8164153,8164153,8164702,,,,Fulford School,8164153,2012
8154211,8154211,,,,,Millthorpe School,8164229,2012
8164702,8164702,,,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164229,8164702,,,,Millthorpe School,8164229,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164703,,,,,,York High School,8164703,2012
8164702,8164702,,,,,York High School,8164703,2012
8164500,8164500,8164153,8164063,8164227,,Burnholme Community College,8164227,2012
8164500,8164500,8164153,8164063,8164227,,Burnholme Community College,8164227,2012
8164229,8164229,8164702,,,,Millthorpe School,8164229,2012
8164229,8154211,8164229,8164602,8164063,8164508,York High School,8164703,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164602,8164602,8164703,8164229,,,York High School,8164703,2012
8164703,8164703,,,,,York High School,8164703,2012
8164153,8164153,8164500,8164508,8164229,8164063,Fulford School,8164153,2012
8164229,8164229,8154211,8164702,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164702,8164702,8164703,,,,York High School,8164703,2012
,,8164500,,,,Burnholme Community College,8164227,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164703,8164703,,,,,York High School,8164703,2012
8164153,8164153,,,,,Fulford School,8164153,2012
,,8164702,,,,,,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164153,8164153,8164602,8164500,8154211,,Fulford School,8164153,2012
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2012
8164003,8164003,8154005,,,,Canon Lee School,8164003,2012
8164229,8164229,8164703,,,,Millthorpe School,8164229,2012
8164702,8164702,,,,,Millthorpe School,8164229,2012
8164063,8164063,,,,,Joseph Rowntree School,8164508,2012
8164153,8164153,8164500,,,,Fulford School,8164153,2012
8164703,8164703,,,,,York High School,8164703,2012
8164703,8164703,,,,,York High School,8164703,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164229,8164602,8164703,8164702,,York High School,8164703,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164153,8164153,8154211,,,,Fulford School,8164153,2012
8164702,8164702,,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,,,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164508,8164508,8164063,8164500,8164227,8164003,Joseph Rowntree School,8164508,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164153,8154211,8164229,8164500,Millthorpe School,8164229,2012
8164229,8164229,8164703,,,,York High School,8164703,2012
8164229,8164229,8164702,8164602,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,,,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164602,8164602,,,,,York High School,8164703,2012
8164229,8164229,8164702,8164153,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164153,8164153,8164702,,,,Fulford School,8164153,2012
8164702,8164702,,,,,Burnholme Community College,8164227,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164703,8164703,,,,,York High School,8164703,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164229,8164229,8164702,8164153,,,Millthorpe School,8164229,2012
8164703,8164703,8164229,,,,York High School,8164703,2012
8164602,8164602,,,,,York High School,8164703,2012
8164063,8164063,8164508,8164003,,,Joseph Rowntree School,8164508,2012
8164229,8164229,8164703,,,,York High School,8164703,2012
8164229,8164229,,,,,York High School,8164703,2012
8164602,8164602,8164703,8164229,,,York High School,8164703,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164702,8164602,8164153,8164702,,,Millthorpe School,8164229,2012
8164500,8164500,8164153,8164063,,,Archbishop Holgates CE School,8164500,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164063,8164063,8164508,,,,Joseph Rowntree School,8164508,2012
8164500,8164500,,,,,Burnholme Community College,8164227,2012
8164703,8164703,8164602,8164229,,,York High School,8164703,2012
8164508,8164508,8164003,,,,Canon Lee School,8164003,2012
8164229,8164229,8164602,,,,York High School,8164703,2012
8164602,8164602,,,,,York High School,8164703,2012
8164508,8164508,,,,,Canon Lee School,8164003,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8154211,8154211,,,,,Fulford School,8164153,2012
8164702,8164702,8164227,,,,Burnholme Community College,8164227,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164702,8164702,8164229,,,,York High School,8164703,2012
8164063,8164063,,,,,Joseph Rowntree School,8164508,2012
8164703,8164703,8164229,,,,Millthorpe School,8164229,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164702,8164702,,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,,,,,York High School,8164703,2012
,,8164703,,,,Joseph Rowntree School,8164508,2012
8164702,8164702,,,,,Millthorpe School,8164229,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164229,8164602,8164229,8164703,,,York High School,8164703,2012
8164063,8164063,,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164229,,,,Millthorpe School,8164229,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164602,8164602,8164229,,,,York High School,8164703,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8154005,8154005,,,,,Canon Lee School,8164003,2012
8164063,8164063,8164227,,,,Burnholme Community College,8164227,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
8154211,8154211,8164229,8164602,,,Millthorpe School,8164229,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164703,8164703,,,,,York High School,8164703,2012
8164003,8164003,8164508,8164063,,,Canon Lee School,8164003,2012
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2012
8164229,8164229,8164702,8164703,,,Millthorpe School,8164229,2012
8164229,8164229,8164702,8164703,,,Millthorpe School,8164229,2012
8154211,8154211,,,,,Millthorpe School,8164229,2012
8164703,8164703,,,,,York High School,8164703,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8154211,8154211,,,,,Millthorpe School,8164229,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164003,8164003,8154005,,,,Canon Lee School,8164003,2012
8164229,8164229,8164702,8164703,,,York High School,8164703,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164508,8164508,8164003,,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8154211,,,,Millthorpe School,8164229,2012
8164500,8164500,,,,,,,2012
8154211,8154211,8164153,,,,Fulford School,8164153,2012
8164003,8164003,8164508,8164153,,,Canon Lee School,8164003,2012
8164602,8164602,8164702,8164703,,,York High School,8164703,2012
8164702,8164702,,,,,Huntington School,8164063,2012
8164602,8164602,8164229,,,,York High School,8164703,2012
8164702,8164702,8164500,8164063,,,Burnholme Community College,8164227,2012
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2012
8164153,8164153,,,,,Fulford School,8164153,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164063,8164063,,,,,Huntington School,8164063,2012
8164703,8164703,8164602,,,,,,2012
8164602,8164602,,,,,York High School,8164703,2012
8164702,8164702,8164602,8164703,,,York High School,8164703,2012
8164702,8164702,8164602,8164229,,,York High School,8164703,2012
8164702,8164702,8164602,,,,York High School,8164703,2012
,,8164602,,,,Canon Lee School,8164003,2012
,,8164500,8164508,,,Burnholme Community College,8164227,2012
8164153,8164153,8154211,8164229,,,Fulford School,8164153,2012
8164702,8164702,8164508,8164500,8164063,8164227,Burnholme Community College,8164227,2012
8164063,8164063,8164508,,,,Huntington School,8164063,2012
8164602,8164602,8164229,,,,York High School,8164703,2012
8164229,8164153,8164229,,,,Millthorpe School,8164229,2012
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2012
,,,8164153,,,,,2012
8164500,8164500,,,,,,,2012
8164003,8164003,,,,,Canon Lee School,8164003,2012
8164229,8164229,8164702,,,,Millthorpe School,8164229,2012
8164229,8164229,8164702,,,,Millthorpe School,8164229,2012
8164229,8164229,8164702,8164703,,,York High School,8164703,2012
,,8164500,,,,Burnholme Community College,8164227,2012
8164508,8164508,8164153,,,,Fulford School,8164153,2012
8164508,8164508,,,,,Joseph Rowntree School,8164508,2012
8164500,8164500,8164063,8164508,,,Huntington School,8164063,2012
8164003,8164003,8164063,8164508,,,Canon Lee School,8164003,2012
8164229,8164229,,,,,Millthorpe School,8164229,2012
8164508,8164508,8164702,8154005,,,Joseph Rowntree School,8164508,2012
8164602,8164602,8164703,8164229,,,York High School,8164703,2012
