Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date,Account Reference Number
"48, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EE",113291600481N,15500,Increased Retail Relief,"Messrs Little & Caine,",04/11/1999,5000008352
"4, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100020N,5200,Increased Retail Relief,Five (Uk) Ltd,19/12/2005,5000011906
"51, Market Street, Dalton In Furness, Cumbria, LA15  8AP",112287600511N,5200,Small Business Relief England,Hartley Restaurants Ltd,30/07/2008,5000013423
"52, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104329800520N,3200,Small Business Relief England,Cowards Pharmacy Ltd,01/04/1990,5000000286
"52, Paradise Street, Barrow In Furness, Cumbria, LA14 1JG",105152400526N,9400,Mandatorary Relief,C.A.D.A.S.,01/04/2004,5000010631
"53, Market Street, Dalton In Furness, Cumbria, LA15 8AP",112287600532N,2700,Small Business Relief England,Hartleys On The Hoof Ltd,25/08/2010,5000014382
"54, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400540N,3800,Small Business Relief England,Acacia Taxis Ltd,01/04/1990,5000000700
"55, Market Street, Dalton In Furness, Cumbria, LA15 8AP",112287600550N,3250,Small Business Relief England,South Lakes Lettings Ltd,19/11/2012,5000015728
"56, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600560N,6800,Increased Retail Relief,"R Forrest Ltd,",01/04/1990,5000000447
"56, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000560N,16750,Empty Property Rate Non-Industrial,Barrow Borough Council,02/07/2012,5000015335
"5-7, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",105117300050N,17250,Increased Retail Relief,Post Office Limited,01/04/2014,5000016343
"58-60, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600580N,12750,Increased Retail Relief,Mr Gee'S Ltd,01/12/2001,5000009339
"58-60, Dominion Street, Barrow In Furness, Cumbria, LA14 3BW",102418600600N,5500,Small Business Relief England,Davis & Hadwin Ltd,01/04/1990,5000000094
"58-64, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300580N,22500,Increased Retail Relief,Diggle Ltd,01/04/1990,5000000481
"58, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500581N,1375,Small Business Relief England,Beckside Management Ltd,20/01/2014,5000016252
"5, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600050N,7200,Empty Property Rate Non-Industrial,Caroline Martin Property Limited,23/04/2014,5000016821
"5, Rowlinson Place, Dalton In Furness, Cumbria, LA15 8DH",112289209070N,1250,Small Business Relief England,S & P Higginson Ltd,01/04/1990,5000001161
"5, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309092N,3650,Empty Property Rate Non-Industrial,Barrow Borough Council,01/04/2010,5000015312
"60, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104129800600N,4900,Mandatorary Relief,The Birchall Trust,01/09/2002,5000009845
"61, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600611N,9100,Increased Retail Relief,Richard Haynes Ltd,04/04/2002,5000009579
"61, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600611N,9100,Small Business Relief England,Richard Haynes Ltd,04/04/2002,5000009579
"63, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600630N,6500,Increased Retail Relief,St Johns Hearing Aid Centre,02/05/2014,5000016499
"64-68, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600641N,19000,Increased Retail Relief,Identityco Limited,05/04/2005,5000015137
"65, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",105119500650N,11750,Small Business Relief England,Brown Barron & Co,01/04/1990,5000000555
"66-68, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300681N,15750,Increased Retail Relief,J N Murray Ltd,01/11/1994,5000004395
"66, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531200660N,3150,Small Business Relief England,Speed Of Sound Ltd,01/01/2001,5000008645
"67-69, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600671N,14500,Increased Retail Relief,Barrow Soc For The Blind,31/10/1997,5000006268
"67-69, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600671N,14500,Mandatorary Relief,Barrow Soc For The Blind,31/10/1997,5000006268
"67-69, Market Street, Dalton In Furness, Cumbria, LA15 8AE",112287600670N,10000,Empty Property Rate Non-Industrial,"Nat.Westminster Bank Plc,",01/04/1990,5000001136
"69, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500690N,4100,Small Business Relief England,C & S Davies Ltd,01/05/1997,5000006014
"6, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000060N,34250,Increased Retail Relief,Vodafone Ltd,17/10/1997,5000006932
"70, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600700N,4700,Small Business Relief England,Rosegate Ventures Ltd,28/09/1997,5000005928
"70, Dalton Road, Barrow In Furness, Cumbria, LA14 1JD",105117300701N,13750,Increased Retail Relief,Specsavers Optical Superstores Ltd,26/04/1996,5000005275
"71-79, School Street, Barrow In Furness, Cumbria, LA14 1EJ",105162300711N,18250,Mandatorary Relief,Barrow & District Disability Assoc,08/01/2001,5000008774
"71, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1QQ",104508900710N,1625,Increased Retail Relief,"Shaw Hadwin Coaches,",01/04/1990,5000000369
"71, Risedale Road, Barrow In Furness, Cumbria, LA13 9QY",108358200710N,3950,Empty Property Rate Non-Industrial,Cp Bigwood Management Llp,08/06/2011,5000015062
"72-74, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500720N,8300,Increased Retail Relief,Elegance Salon Ltd,01/08/2011,5000014858
"72-74, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500720N,8300,Small Business Relief England,Elegance Salon Ltd,01/08/2011,5000014858
"72, Abbey Road, Barrow In Furness, Cumbria, LA14 5UB",104500108141N,9200,Small Business Relief England,D S Fitness Centre Ltd,05/01/1998,5000007116
"72, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600721N,6300,Increased Retail Relief,Brian O'Loughlin Ltd,15/03/2004,5000010547
"72, Market Street, Dalton In Furness, Cumbria, LA15 8AA",113187600720N,8100,Small Business Relief England,Market Street House Ltd,17/10/2013,5000016198
"73, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600730N,5400,Mandatorary Relief,St Marys Hospice,01/04/2000,5000008296
"74, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600740N,6700,Increased Retail Relief,North West Consumables Ltd,22/03/2007,5000012374
"74, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600740N,6700,Small Business Relief England,North West Consumables Ltd,22/03/2007,5000012374
"74, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300740N,10750,Increased Retail Relief,"Burrow'S Tool Factors,",01/04/1990,5000000486
"74, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300740N,10750,Small Business Relief England,"Burrow'S Tool Factors,",01/04/1990,5000000486
"75-77, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600750N,11500,Increased Retail Relief,Lloyds Pharmacy Ltd,01/11/1991,5000001896
"76, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600760N,8800,Empty Property Rate Non-Industrial,Farrell Heyworth Ltd,21/03/2013,5000015793
"76,, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500761N,7200,Small Business Relief England,Furness Prop Let. & Mgt Ltd,06/12/2004,5000011635
"76, Greengate Street, Barrow In Furness, Cumbria, LA14 1EZ",105327600761N,3250,Small Business Relief England,Furness Dental Lab Ltd,06/09/1999,5000008002
"76, Warwick Street, Barrow In Furness, Cumbria, LA14 5HB",107274500761N,5100,Mandatorary Relief,"British Red Cross,",15/06/1991,5000001832
"78, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600780N,6500,Increased Retail Relief,Millers Shoe Repairs Ltd,01/04/1990,5000000461
"78, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600780N,6500,Small Business Relief England,Millers Shoe Repairs Ltd,01/04/1990,5000000461
"78, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500780N,4100,Small Business Relief England,Barrow Rugby League Auxiliary Association,25/03/1991,5000001668
"79, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600793N,4200,Increased Retail Relief,Greggs Of Cumbria,01/04/1992,5000002241
"7, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600070N,4550,Small Business Relief England,Marsha Lea Bridal Studio Ltd,27/11/2000,5000008541
"7., Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",104422200074N,3000,Increased Retail Relief,"Animal Refuge Furness,",16/11/2009,5000013846
"7., Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",104422200074N,3000,Mandatorary Relief,"Animal Refuge Furness,",16/11/2009,5000013846
"7, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1HX",105154000070N,43750,Increased Retail Relief,Orange Retail Ltd,28/02/2001,5000008904
"80-82, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600820N,8100,Increased Retail Relief,Ho2 Management Limited,21/02/2011,5000014548
"81, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600810N,4800,Small Business Relief England,Sharples Estate Agents Ltd T/A Stephensons Estate Agents,01/05/2011,5000014649
"82, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117300820N,32250,Increased Retail Relief,Winfield Holdings Ltd,01/08/2009,5000013718
"82, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500820N,4400,Increased Retail Relief,Reef Evans Ltd,20/06/1997,5000005816
"83-85, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",105119500830N,2425,Small Business Relief England,Provincial Funding Ltd,01/04/1990,5000000563
"83, Greengate Street, Barrow In Furness, Cumbria, LA14 1EZ",105327600830N,3400,Small Business Relief England,Greengate St News Ltd,23/08/2004,5000010811
"83, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600830N,3100,Increased Retail Relief,Tangeo Management Ltd,10/10/2007,5000012652
"84, Dalton Road, Barrow In Furness, Cumbria, LA14 1JN",105117300840N,30500,Mandatorary Relief,St Marys Hospice,01/06/2000,5000008297
"85, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600850N,3000,Small Business Relief England,Tp Framework Limited,13/07/2015,5000017051
"86-88, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600860N,7100,Increased Retail Relief,P&L Enterprise (Cumbria) Ltd,08/10/2007,5000012636
"86, Duke Street, Barrow In Furness, Cumbria, LA14  1RD",104519500869N,9900,Increased Retail Relief,Creative Support Ltd,23/10/2013,5000016103
"86, Duke Street, Barrow In Furness, Cumbria, LA14  1RD",104519500869N,9900,Mandatorary Relief,Creative Support Ltd,23/10/2013,5000016103
"87, School Street, Barrow In Furness, Cumbria, LA14 1EJ",105162300870N,5000,Small Business Relief England,A Holden'S Ltd,25/10/1999,5000007815
"89-91, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117300890N,26250,Empty Property Rate Non-Industrial,The Carphone Warehouse Uk Ltd,01/01/2008,5000012805
"89, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",104519500890N,3100,Small Business Relief England,Pc! Lettings Ltd,17/06/2005,5000011318
"8, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100080N,4050,Small Business Relief England,R & T Music Ltd,27/03/2003,5000010074
"8 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309100N,3050,Increased Retail Relief,"J E Blackshaw Ltd,",10/10/2012,5000015769
"90, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600900N,6900,Empty Property Rate Non-Industrial,"Barclays Bank Plc,",01/04/1990,5000001281
"90, Roose Road, Barrow In Furness, Cumbria, LA13 9RH",111559000904N,2600,Small Business Relief England,Tagi'S Buns Ltd,01/02/2014,5000016226
"9 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309110N,2700,Empty Property Rate Non-Industrial,Barrow Borough Council,06/12/1999,5000007876
"Abbots Vale Community Centre, Abbots Vale, Barrow In Furness, Cumbria, LA13  9PA",108100209304N,6500,Mandatorary Relief,Abbots Vale Users Association,18/01/2010,5000014014
"Adj 44, Whitehead Street, Barrow In Furness, Cumbria, LA14 1AH",104475900440N,2300,Small Business Relief England,Superior Windows Ltd,19/09/2001,5000009491
"Adj Coastguard Cottages, South End, Barrow In Furness, Cumbria, LA14 3YQ",102364409151N,1725,Mandatorary Relief,"The Cumbria Wildlife Trust,",01/04/1992,5000004206
"Adj Unit 2d, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",104274209112N,4350,Empty Property Rate Industrial,Anixter Industrial,01/04/1994,5000005714
"Age Concern, 24, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",104247309010N,3150,Mandatorary Relief,Alzheimers Society,01/05/2009,5000013627
"Age Concern, Lakeland Pennine Bldg, Abbey Road, Barrow In Furness, Cumbria, LA14 1XL",104300109038N,22000,Mandatorary Relief,Age Uk Barrow And District,12/04/2002,5000009796
"Albion Hotel, Dalton Road, Barrow In Furness, Cumbria, LA14 2EX",105117309010N,10700,Increased Retail Relief,Niamh Isobel Limited,28/10/2014,5000016689
"All Trading Ltd, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517109005N,22500,Empty Property Rate Non-Industrial,"D Stoker (Barrow) Ltd,",06/01/2012,5000015233
"Anchorline Basin, Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",103357109460N,3100,Small Business Relief England,"Bay Towage & Salvage Ltd,",01/04/1993,5000002566
"Art Gene Ltd, The Nan Tait Centre, Bath Street, Barrow In Furness, Cumbria, LA14 5TY",104300109083N,29750,Mandatorary Relief,Art Gene Ltd,01/04/2012,5000015746
"Ashton Group 1st Flr, 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108088N,12250,Mandatorary Relief,The Ashton Group,15/08/2011,5000015053
"Askam Amateur Rugby League Club, Sandy Lane, Askam In Furness, Cumbria, LA16 7BD",112697009300N,10500,Mandatory CASC Relief,Askam Arlc,01/04/2003,5000009951
"Askam Community Centre, Duke Street, Askam In Furness, Cumbria, LA16 7AE",112595609001N,2200,Mandatorary Relief,Askam And Ireleth Community Centre Limited,01/11/2009,5000013864
"Askam School, Lots Road, Askam In Furness, Cumbria, LA16 7DA",112696809200N,32750,Mandatorary Relief,"Askam Village School Corpn,",01/04/1994,5000003449
"Askam Town Silver Band Hall, Marsh Street, Askam In Furness, Cumbria, LA16 7BE",112697009080N,4250,Mandatorary Relief,Askam Town Silver Band,01/04/1990,5000001222
"Askam United Afc, Duddon Road, Askam In Furness, Cumbria, LA16 7AN",112595509120N,3250,Mandatory CASC Relief,Askam United Afc,01/04/1993,5000002842
"Austwhim House, High Street, Barrow In Furness, Cumbria, LA14 1QY",104530709170N,7100,Mandatorary Relief,The Croftland Trust,01/08/2008,5000013188
"Barrow 6th Form College, Rating Lane, Barrow In Furness, Cumbria, LA13 9LE",110457509040N,217000,Mandatorary Relief,Barrow 6th Form Coll,01/04/1993,5000002571
"Barrow Amateur Boxing Club, Brook Street, Barrow In Furness, Cumbria, LA13 9SU",108408609010N,2950,Small Business Relief England,Barrow Amateur Boxing Club,01/04/1990,5000000979
"Barrow Celtic Football Club, Newby Terrace, Barrow In Furness, Cumbria, LA14 5PE",106147701030N,1600,Small Business Relief England,Barrow Celtic Fc,01/01/1995,5000004399
"Barrow Cricket Club, Ernest Pass Mem Gr, Abbey Road, Barrow In Furness, Cumbria, LA13 9JS",110100109560N,14500,Mandatory CASC Relief,Barrow Cricket Club,01/04/1990,5000001010
"Barrow Golf Club, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4QB",109456809010N,35000,Mandatory CASC Relief,Barrow Golf Club,01/04/1990,5000001005
"Barrow Island Arlfc., Ostley Bank, Barrow In Furness, Cumbria, LA13 9LR",110451009031N,6800,Mandatory CASC Relief,Barrow Island Arlfc,02/10/2014,5000016784
"Barrow Labour Club, 91-97, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DL",105111600911N,10500,Increased Retail Relief,"Bw Labour Club & Inst Ltd,",17/12/1992,5000002595
"Barrow Labour Club, 91-97, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DL",105111600911N,10500,Small Business Relief England,"Bw Labour Club & Inst Ltd,",17/12/1992,5000002595
"Barrow Powerboat Racing Club, Woodbridge Haven, Cavendish Dock Road, Barrow In Furness, Cumbria, LA14 2TB",108111409081N,2000,Small Business Relief England,Bw Power Boat Racing Club,01/12/2013,5000016432
"Barrow Rugby Football Club, Craven Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 1XP",104131209120N,5500,Small Business Relief England,"Barrow R F C Ltd,",01/04/1990,5000000227
"Barrow Sailing Club, North Road, Barrow In Furness, Cumbria, LA14 2PP",103223820601N,1725,Small Business Relief England,Barrow Sailing Club,01/04/2004,5000010791
"Barrow Sea Cadet Unit 1, Dundee Street, Barrow In Furness, Cumbria, LA14 2RP",103220100010N,12250,Mandatorary Relief,Barrow Sea Cadet Unit,16/08/2004,5000011155
"Barrow Transport Museum Trust Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",104274209075N,9800,Mandatorary Relief,B/W Transport Museum Trust,01/04/2005,5000011708
"Barrow Wanderers Fc, Lesh Lane, Barrow In Furness, Cumbria, LA13 9DY",110338259060N,4650,Small Business Relief England,"Barrow Wanderers Fc,",01/04/1990,5000001030
"B C S Social Club, Dane Avenue, Barrow In Furness, Cumbria, LA14 4JS",109117409020N,3750,Mandatory CASC Relief,B C S Social Club,01/04/1990,5000000985
"B & D Motors, 99, Chatsworth Street, Barrow In Furness, Cumbria, LA14 5TP",104112109261N,9800,Small Business Relief England,B & D Motors Ltd,01/04/2006,5000012435
"B L Gilbert (Barrow) Ltd, St Andrews Street, Barrow In Furness, Cumbria, LA14 2SU",103360709030N,5800,Small Business Relief England,"B L Gilbert (Barrow) Ltd,",01/04/1990,5000000201
"Bowling Green At Cavendish Park, Island Road, Barrow In Furness, Cumbria, LA14 2SA",103334009110N,1125,Small Business Relief England,Barrow Island Bowling Club,01/04/2010,5000017038
"Bowling Green At King Alfred Hotel, Ocean Road, Barrow In Furness, Cumbria, LA14 3DU",102250209091N,810,Small Business Relief England,King Alfred Bowling Club,01/04/2005,5000012797
"Brisbane Park, Blake Street, Barrow In Furness, Cumbria, LA14 1NY",104107309023N,4100,Mandatory CASC Relief,Hindpool Sports Association,13/09/1998,5000007459
"Broadway Sports Bar, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",104411609173N,17250,Increased Retail Relief,Lucas Leisure Ltd,01/05/2011,5000015168
"Buccleuch Hall, The Green, Lindal In Furness, Cumbria, LA12 OLX",112399100530N,2100,Mandatorary Relief,Buccleuch Village Hall,01/04/1995,5000004418
"Building Accessories Supplies, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",104233909210N,8700,Small Business Relief England,Ato Industries Ltd T/A Building Accessories Supplies,01/07/2003,5000010217
"Buywrights, 13a, Steamer Street, Barrow In Furness, Cumbria, LA14 2SH",103334000131N,2950,Increased Retail Relief,Fast Property Sale Limited,27/08/2013,5000016045
"Cafexpress At Barrow Railway Station, Abbey Road, Barrow In Furness, Cumbria, LA14 5QZ",104300109182N,3350,Increased Retail Relief,Caterleisure Services,01/04/2010,5000014787
"Cannons Health Club, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 1YE",104233909910N,185000,Mandatorary Relief,Nuffield Health,01/04/1999,5000007662
"Car Park,Nth Of Sandscale Cotts, Roanhead, Barrow In Furness, Cumbria, LA14 4QJ",112697359050N,1800,Mandatorary Relief,The National Trust,06/02/2001,5000008678
"Cavendish Park Playing Fields & Changing Rooms, Island Road, Barrow In Furness, Cumbria, LA14 2SA",103334009100N,5300,Mandatorary Relief,Trustees Of Barrow Island Community Trust,01/11/2014,5000017039
"Cemetery Cottage Club, Schneider Road, Barrow In Furness, Cumbria, LA14 5DN",106362109210N,18250,Increased Retail Relief,Simple Leisure Limited T/A Cottages Club,02/09/2014,5000016691
"Central Cars And Couriers, 8, Slater Street, Barrow In Furness, LA14 1SJ",105119500604N,1350,Small Business Relief England,Central Cars/Couriers Ltd,18/02/1996,5000005596
"Central Working Men'S Club, Preston Street, Barrow In Furness, Cumbria, LA14 1LA",105154500750N,13750,Increased Retail Relief,"Central Working Men'S Club,",01/04/1990,5000000611
"Chambers, 98, Duke Street, Barrow In Furness, Cumbria, LA14 1RD",104519500945N,0,Empty Property Rate Non-Industrial,High Speed Boats (Windermere) Ltd,11/03/2009,5000013525
"Chandlers Country Cafe, Lindal Business Park, Lindal, Lindal In Furness, Cumbria, LA12 0LL",112399109003N,22500,Increased Retail Relief,Chandlers Country Fayre Ltd,05/10/1999,5000008219
"Chandlers, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TN",103357209041N,12400,Increased Retail Relief,Ramsden Dock Leisure Limited,01/04/2011,5000014728
"Cheeky Monkeys Childcare Ltd, Abbots Vale, Barrow In Furness, Cumbria, LA13 9PA",108100209305N,7000,Small Business Relief England,Cheeky Monkeys Childcare Ltd,18/01/2010,5000014015
"Church House, School Street, Barrow In Furness, Cumbria, LA14 1EW",105462309092N,6000,Mandatorary Relief,Thrift Charitable Trust,19/05/2014,5000016498
"Citizens Advice Bureau, Ramsden Hall, Abbey Road, Barrow In Furness, Cumbria, LA14 5QW",104300109063N,13750,Mandatorary Relief,"Citizens Advice Bureau,",09/08/2000,5000008748
"Cjs Car Sales Ltd, Ireleth Road, Askam In Furness, Cumbria, LA16  7DJ",112599002091N,12000,Increased Retail Relief,Cjs Car Sales Ltd,17/09/2007,5000012694
"Clubroom, Chapel Street, Dalton In Furness, Cumbria, LA15 8DA",112182309030N,2175,Mandatorary Relief,Dalton Old Peoples Welfre Cttee,17/12/2008,5000013919
"College House Day Nursery, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209051N,14500,Mandatorary Relief,College Day Nursery Ltd,24/05/2010,5000014307
"College House, Rooms 201-202, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209057N,2600,Mandatorary Relief,Disability Association Carlisle & Eden,27/02/2012,5000015203
"College House, Rooms 205-206, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209059N,5300,Small Business Relief England,Be Creative Design Ltd,01/02/2013,5000015929
"Columba Garage, Euryalus Street, Barrow In Furness, Cumbria, LA14 3BD",102522709010N,2700,Small Business Relief England,Columba Garage Ltd,22/11/2002,5000009895
"Communal Parts & Unit 7 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909157N,10750,Small Business Relief England,Trinity Enterprise Centre Ltd,21/08/2000,5000008805
"Community Centre, 120, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901210N,10250,Mandatorary Relief,Action For Children,01/04/2008,5000013103
"Community Centre, Longway, Barrow In Furness, Cumbria, LA13 ODW",111539109000N,4000,Empty Property Rate Non-Industrial,Barrow Borough Council,25/01/2015,5000017094
"Community Hall, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",101311909090N,5300,Empty Property Rate Non-Industrial,Barrow Borough Council,04/05/2015,5000016971
"Cosy Seal Insulation Co Ltd, Scarth Road, Barrow In Furness, Cumbria, LA14 4RF",106552709300N,5300,Small Business Relief England,Irvs Vw Restorations Ltd,01/09/2013,5000016888
"Council Office Above Pavillion, Barrow Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",107300109963N,3450,Empty Property Rate Non-Industrial,Barrow Borough Council,01/04/2010,5000016522
"Council Stores, 1st Floor, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510013N,8900,Empty Property Rate Industrial,Barrow Borough Council,06/12/1999,5000007891
"County Coachbuilders Automotive Lmtd, Park Road, Barrow In Furness, Cumbria, LA14  4EQ",106552709174N,47750,Increased Retail Relief,County Coachbuilders Automotive Ltd,01/06/2008,5000013709
"County Coachbuilders (Barrow) Ltd, Chatsworth Street, Barrow In Furness, Cumbria, LA14 5TP",104112109450N,7100,Small Business Relief England,J R Gabriel Properties Ltd,11/04/2012,5000015294
"Crooklands Casuals Fc, Opp Longlands Cottag, Longlands, Dalton In Furness, Cumbria, LA15 8JF",113487209020N,1675,Mandatory CASC Relief,Crooklands Casuals,01/04/1990,5000001320
"Crossgates Smallholding, Broughton Road, Dalton In Furness, Cumbria, LA15 8JR",112183300020N,1000,Small Business Relief England,D & P Johnson Ltd,01/04/2001,5000009193
"Cumbria Auto Repairs, The Arches,, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PB",105165809050N,7200,Small Business Relief England,Cumbria Autos Ltd,01/04/1990,5000000635
"Cumbria County Council, Tummerhill Playing F, Biggar Bank Road, Barrow In Furness, Cumbria, LA14 3HN",102106809010N,600,Mandatorary Relief,Walney School,01/04/2010,5000015456
"Cunninghams, 13, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104305909010N,6250,Increased Retail Relief,Lara Gibbons Ltd,11/07/2011,5000014829
"Cunninghams, 13, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104305909010N,6250,Small Business Relief England,Lara Gibbons Ltd,11/07/2011,5000014829
"Dalton Castle, Market Place, Dalton In Furness, Cumbria, LA15 8AX",113187509020N,1000,Mandatorary Relief,"The National Trust,",01/04/1990,5000001269
"Dalton Community Centre, Nelson Street, Dalton In Furness, Cumbria, LA15 8AF",112288309147N,5600,Mandatorary Relief,Dalton Community Association,01/08/2000,5000010286
"Dalton Cricket Club, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EY",113291600760N,12000,Mandatory CASC Relief,Dalton Cricket Club,01/04/1990,5000001308
"Dalton-In-Furness Ce School, Coronation Drive, Dalton In Furness, Cumbria, LA15 8QR",113382809000N,26500,Mandatorary Relief,"Dalton St Mary'S C.E. Primary School,",01/04/1994,5000003605
"Dalton Leisure Centre, Chapel Street, Dalton In Furness, Cumbria, LA15 8DA",112182309130N,105000,Mandatorary Relief,"Dalton Leisure Services Ltd,",01/04/1990,5000001119
"Dalton Market, Tudor Square, Dalton In Furness, Cumbria, LA15 8RJ",112291400900N,1500,Increased Retail Relief,Dalton Parish Council,01/04/2002,5000009769
"Dalton Rlfc, Crooklands Brow, Ulverston Road, Dalton In Furness, Cumbria, LA15 8HB",113183109020N,7400,Mandatory CASC Relief,Dalton Rlfc,01/04/1990,5000001257
"Dalton United Football Club, Beckside, Dalton In Furness, Cumbria, LA15 8DP",113181209060N,5600,Mandatory CASC Relief,Dalton United Afc,01/04/1990,5000001254
"Derian The Old Brewery, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531209079N,0,Small Business Relief England,Derian Engineering Ltd,01/03/2006,5000011881
"Dominos, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209601N,15500,Increased Retail Relief,Michael Bird Ltd,30/06/2009,5000013679
"Dsl Heating,, Moorfield Street, Barrow In Furness, Cumbria, LA13 9RS",108243809011N,3250,Small Business Relief England,Dsl Heating Ltd,01/01/2015,5000016793
"Duddon Inshore Rescue The Shore, Steel Street, Askam In Furness, Cumbria, LA16 7BS",112697809020N,3750,Mandatorary Relief,Duddon Inshore Rescue,01/04/1990,5000001245
"Duddon Sports & Social Club, James Street, Askam In Furness, Cumbria, LA16 7AH",112595509020N,8400,Increased Retail Relief,Duddon Sports & Social Club,01/08/1999,5000007649
